probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,15.625,7.0,7.0,13.0,1.8213710146858384,2.489453832787809,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,14.0,1.9353402019551453,2.58638527205236,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,15.0,2.031581273704392,2.675087176534738,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,16.0,2.0835309146051277,2.765096023483087,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,17.0,2.1179782660497146,2.8451754596310224,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,18.0,2.149332807935943,2.9235216507158683,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,19.0,2.1545483131387333,2.9895466247942983,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,20.0,2.155674365471636,3.063430408247431,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,21.0,2.14847832248931,3.1301019691677694,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,22.0,2.133780581465498,3.185775779026241,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,23.0,2.1455565581197784,3.218360222760598,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,24.0,2.1158374985578394,3.2540960095683995,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,25.0,2.127039757773467,3.300112114634977,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,26.0,2.124491212902909,3.3086239032944817,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,27.0,2.1561606920106917,3.319339388857639,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,28.0,2.107812960621783,3.3247767751082584,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,29.0,2.09092728815029,3.338815959882728,3.0
GE624D,pAM,45.0,15.625,7.0,7.0,30.0,2.068678634514429,3.3747297457336773,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,1.6,0.28504595052116094,0.2759924618164736,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,2.0,0.35758634072843815,0.352500552594673,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,3.0,0.5509692145431994,0.5315184714953359,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,4.0,0.7560052015340979,0.6961116222659252,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,5.0,0.970255718109398,0.8466464390578162,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,6.0,1.1740668345785448,0.9765419067663812,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,7.0,1.3815724910542977,1.0936731414861594,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,8.0,1.582647557160812,1.189994065055207,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,9.0,1.7732344003612577,1.274363400627183,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,10.0,1.9373649868825054,1.352401496684284,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,11.0,2.069711043611791,1.441316151006846,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,12.0,2.1851497978441703,1.521866190281694,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,13.0,2.2994323325549337,1.628533029070575,3.0
GE624D,pAM,45.0,15.625,9.0,9.0,14.0,2.4254953887783213,1.6595505092402094,3.0
